Sample	Unique Reads	Duplicate Reads
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R1_001	18515664.0	6207964.0
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R2_001	18932788.0	5790840.0
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R1_001	17196254.0	6255739.0
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R2_001	17612154.0	5839839.0
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R1_001	17480272.0	5770780.0
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R2_001	17589867.0	5661185.0
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R1_001	18399790.0	6444391.0
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R2_001	18884672.0	5959509.0
18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R1_001	18508857.0	6403681.0
18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R2_001	18867170.0	6045368.0
18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R1_001	12834929.0	4616083.0
18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R2_001	12943918.0	4507094.0
18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R1_001	11946520.0	3650546.0
18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R2_001	12277089.0	3319977.0
18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R1_001	19906808.0	7175511.0
18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R2_001	20324087.0	6758232.0
18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R1_001	15976208.0	5786085.0
18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R2_001	16276336.0	5485957.0
18170X109_200925_A00421_0244_AHKML5DSXY_S129_L002_R1_001	14166097.0	4676961.0
18170X109_200925_A00421_0244_AHKML5DSXY_S129_L002_R2_001	14428663.0	4414395.0
18170X10_200925_A00421_0244_AHKML5DSXY_S30_L002_R1_001	16332119.0	5958825.0
18170X10_200925_A00421_0244_AHKML5DSXY_S30_L002_R2_001	16643053.0	5647891.0
18170X110_200925_A00421_0244_AHKML5DSXY_S130_L002_R1_001	20587227.0	7485740.0
18170X110_200925_A00421_0244_AHKML5DSXY_S130_L002_R2_001	20995960.0	7077007.0
18170X111_200925_A00421_0244_AHKML5DSXY_S131_L002_R1_001	15725538.0	5748413.0
18170X111_200925_A00421_0244_AHKML5DSXY_S131_L002_R2_001	16046184.0	5427767.0
18170X112_200925_A00421_0244_AHKML5DSXY_S132_L002_R1_001	16969938.0	6269945.0
18170X112_200925_A00421_0244_AHKML5DSXY_S132_L002_R2_001	17206264.0	6033619.0
18170X113_200925_A00421_0244_AHKML5DSXY_S133_L002_R1_001	14209513.0	4690359.0
18170X113_200925_A00421_0244_AHKML5DSXY_S133_L002_R2_001	14459559.0	4440313.0
18170X114_200925_A00421_0244_AHKML5DSXY_S134_L002_R1_001	15088083.0	5027832.0
18170X114_200925_A00421_0244_AHKML5DSXY_S134_L002_R2_001	15420780.0	4695135.0
18170X115_200925_A00421_0244_AHKML5DSXY_S135_L002_R1_001	15694223.0	5162353.0
18170X115_200925_A00421_0244_AHKML5DSXY_S135_L002_R2_001	15823386.0	5033190.0
18170X116_200925_A00421_0244_AHKML5DSXY_S136_L002_R1_001	15084718.0	5010163.0
18170X116_200925_A00421_0244_AHKML5DSXY_S136_L002_R2_001	14917450.0	5177431.0
18170X117_200925_A00421_0244_AHKML5DSXY_S137_L002_R1_001	17099035.0	5453848.0
18170X117_200925_A00421_0244_AHKML5DSXY_S137_L002_R2_001	17142325.0	5410558.0
18170X118_200925_A00421_0244_AHKML5DSXY_S138_L002_R1_001	16181723.0	5454151.0
18170X118_200925_A00421_0244_AHKML5DSXY_S138_L002_R2_001	16535231.0	5100643.0
18170X119_200925_A00421_0244_AHKML5DSXY_S139_L002_R1_001	15959174.0	5742965.0
18170X119_200925_A00421_0244_AHKML5DSXY_S139_L002_R2_001	16258116.0	5444023.0
18170X11_200925_A00421_0244_AHKML5DSXY_S31_L002_R1_001	16696227.0	5517020.0
18170X11_200925_A00421_0244_AHKML5DSXY_S31_L002_R2_001	16847159.0	5366088.0
18170X120_200925_A00421_0244_AHKML5DSXY_S140_L002_R1_001	15913144.0	5047065.0
18170X120_200925_A00421_0244_AHKML5DSXY_S140_L002_R2_001	16098723.0	4861486.0
18170X121_200925_A00421_0244_AHKML5DSXY_S141_L002_R1_001	17842602.0	7060033.0
18170X121_200925_A00421_0244_AHKML5DSXY_S141_L002_R2_001	18171285.0	6731350.0
18170X122_200925_A00421_0244_AHKML5DSXY_S142_L002_R1_001	16817606.0	5383810.0
18170X122_200925_A00421_0244_AHKML5DSXY_S142_L002_R2_001	17005902.0	5195514.0
18170X123_200925_A00421_0244_AHKML5DSXY_S143_L002_R1_001	18629987.0	7470280.0
18170X123_200925_A00421_0244_AHKML5DSXY_S143_L002_R2_001	19279271.0	6820996.0
18170X124_200925_A00421_0244_AHKML5DSXY_S144_L002_R1_001	17550457.0	6079513.0
18170X124_200925_A00421_0244_AHKML5DSXY_S144_L002_R2_001	18011917.0	5618053.0
18170X125_200925_A00421_0244_AHKML5DSXY_S145_L002_R1_001	16407669.0	6209123.0
18170X125_200925_A00421_0244_AHKML5DSXY_S145_L002_R2_001	16799660.0	5817132.0
18170X126_200925_A00421_0244_AHKML5DSXY_S146_L002_R1_001	16809959.0	5407648.0
18170X126_200925_A00421_0244_AHKML5DSXY_S146_L002_R2_001	16831339.0	5386268.0
18170X127_200925_A00421_0244_AHKML5DSXY_S147_L002_R1_001	16047411.0	5175658.0
18170X127_200925_A00421_0244_AHKML5DSXY_S147_L002_R2_001	16212586.0	5010483.0
18170X128_200925_A00421_0244_AHKML5DSXY_S148_L002_R1_001	16748910.0	5340264.0
18170X128_200925_A00421_0244_AHKML5DSXY_S148_L002_R2_001	16989870.0	5099304.0
18170X129_200925_A00421_0244_AHKML5DSXY_S149_L002_R1_001	17515423.0	6260808.0
18170X129_200925_A00421_0244_AHKML5DSXY_S149_L002_R2_001	17951703.0	5824528.0
18170X12_200925_A00421_0244_AHKML5DSXY_S32_L002_R1_001	16801357.0	5599833.0
18170X12_200925_A00421_0244_AHKML5DSXY_S32_L002_R2_001	17004398.0	5396792.0
