Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R1_001	18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24723628.0	0.0	151.0	37.0	74.89056129269022	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R2_001	18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24723628.0	0.0	151.0	38.0	76.57770618441967	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R1_001	18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	23451993.0	0.0	151.0	37.0	73.32534048225222	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R2_001	18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	23451993.0	0.0	151.0	37.0	75.09874759237995	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R1_001	18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	23251052.0	0.0	151.0	37.0	75.18056159399119	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R2_001	18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	23251052.0	0.0	151.0	37.0	75.65191621597803	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R1_001	18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24844181.0	0.0	151.0	37.0	74.060761749421	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R2_001	18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24844181.0	0.0	151.0	38.0	76.01245201806464	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R1_001	18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24912538.0	0.0	151.0	37.0	74.2953448350383	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R2_001	18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	24912538.0	0.0	151.0	38.0	75.73363185892175	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R1_001	18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	17451012.0	0.0	151.0	37.0	73.54833456943365	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R2_001	18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	17451012.0	0.0	151.0	37.0	74.17287453503693	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R1_001	18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	15597066.0	0.0	151.0	37.0	76.59465627442198	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R2_001	18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	15597066.0	0.0	151.0	38.0	78.71409035371705	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R1_001	18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	27082319.0	0.0	151.0	37.0	73.5048111664542	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R2_001	18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	27082319.0	0.0	151.0	38.0	75.04559288245977	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R1_001	18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	21762293.0	0.0	151.0	37.0	73.41233670446256	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R2_001	18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	21762293.0	0.0	151.0	37.0	74.7914526871261	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X109_200925_A00421_0244_AHKML5DSXY_S129_L002_R1_001	18170X109_200925_A00421_0244_AHKML5DSXY_S129_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	18843058.0	0.0	151.0	37.0	75.17939085618788	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X109_200925_A00421_0244_AHKML5DSXY_S129_L002_R2_001	18170X109_200925_A00421_0244_AHKML5DSXY_S129_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	18843058.0	0.0	151.0	37.0	76.57282878042308	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X10_200925_A00421_0244_AHKML5DSXY_S30_L002_R1_001	18170X10_200925_A00421_0244_AHKML5DSXY_S30_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	22290944.0	0.0	151.0	37.0	73.26795266813653	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X10_200925_A00421_0244_AHKML5DSXY_S30_L002_R2_001	18170X10_200925_A00421_0244_AHKML5DSXY_S30_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	22290944.0	0.0	151.0	37.0	74.6628439899399	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X110_200925_A00421_0244_AHKML5DSXY_S130_L002_R1_001	18170X110_200925_A00421_0244_AHKML5DSXY_S130_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	28072967.0	0.0	151.0	37.0	73.33470088109208	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X110_200925_A00421_0244_AHKML5DSXY_S130_L002_R2_001	18170X110_200925_A00421_0244_AHKML5DSXY_S130_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	28072967.0	0.0	151.0	38.0	74.79066605486582	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X111_200925_A00421_0244_AHKML5DSXY_S131_L002_R1_001	18170X111_200925_A00421_0244_AHKML5DSXY_S131_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	21473951.0	0.0	151.0	37.0	73.23076100031858	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X111_200925_A00421_0244_AHKML5DSXY_S131_L002_R2_001	18170X111_200925_A00421_0244_AHKML5DSXY_S131_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	21473951.0	0.0	151.0	37.0	74.72394737171784	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X112_200925_A00421_0244_AHKML5DSXY_S132_L002_R1_001	18170X112_200925_A00421_0244_AHKML5DSXY_S132_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	23239883.0	0.0	151.0	37.0	73.02075200073403	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X112_200925_A00421_0244_AHKML5DSXY_S132_L002_R2_001	18170X112_200925_A00421_0244_AHKML5DSXY_S132_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	23239883.0	0.0	151.0	37.0	74.03765235387198	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X113_200925_A00421_0244_AHKML5DSXY_S133_L002_R1_001	18170X113_200925_A00421_0244_AHKML5DSXY_S133_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	18899872.0	0.0	151.0	37.0	75.18311750221565	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X113_200925_A00421_0244_AHKML5DSXY_S133_L002_R2_001	18170X113_200925_A00421_0244_AHKML5DSXY_S133_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	18899872.0	0.0	151.0	37.0	76.50611870299156	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X114_200925_A00421_0244_AHKML5DSXY_S134_L002_R1_001	18170X114_200925_A00421_0244_AHKML5DSXY_S134_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	20115915.0	0.0	151.0	37.0	75.00569755073802	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X114_200925_A00421_0244_AHKML5DSXY_S134_L002_R2_001	18170X114_200925_A00421_0244_AHKML5DSXY_S134_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	20115915.0	0.0	151.0	38.0	76.65959611263551	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X115_200925_A00421_0244_AHKML5DSXY_S135_L002_R1_001	18170X115_200925_A00421_0244_AHKML5DSXY_S135_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	20856576.0	0.0	151.0	37.0	75.24831928070796	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X115_200925_A00421_0244_AHKML5DSXY_S135_L002_R2_001	18170X115_200925_A00421_0244_AHKML5DSXY_S135_L002_R2_001.fastq	Conventional base calls	Sanger / Illumina 1.9	20856576.0	0.0	151.0	38.0	75.86760661547703	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
18170X116_200925_A00421_0244_AHKML5DSXY_S136_L002_R1_001	18170X116_200925_A00421_0244_AHKML5DSXY_S136_L002_R1_001.fastq	Conventional base calls	Sanger / Illumina 1.9	20094881.0	0.0	151.0	37.0	75.06746502820627	151.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	pass	pass
