Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R1_001	25.109438707309778	37.0	151.0	9.090909090909092	24723628.0
18170X100_200925_A00421_0244_AHKML5DSXY_S120_L002_R2_001	23.422293815580332	38.0	151.0	9.090909090909092	24723628.0
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R1_001	26.674659517747784	37.0	151.0	9.090909090909092	23451993.0
18170X101_200925_A00421_0244_AHKML5DSXY_S121_L002_R2_001	24.90125240762005	37.0	151.0	9.090909090909092	23451993.0
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R1_001	24.819438406008814	37.0	151.0	9.090909090909092	23251052.0
18170X102_200925_A00421_0244_AHKML5DSXY_S122_L002_R2_001	24.348083784021966	37.0	151.0	9.090909090909092	23251052.0
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R1_001	25.939238250578995	37.0	151.0	9.090909090909092	24844181.0
18170X103_200925_A00421_0244_AHKML5DSXY_S123_L002_R2_001	23.987547981935364	38.0	151.0	9.090909090909092	24844181.0
18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R1_001	25.704655164961693	37.0	151.0	9.090909090909092	24912538.0
18170X104_200925_A00421_0244_AHKML5DSXY_S124_L002_R2_001	24.266368141078246	38.0	151.0	9.090909090909092	24912538.0
18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R1_001	26.45166543056635	37.0	151.0	9.090909090909092	17451012.0
18170X105_200925_A00421_0244_AHKML5DSXY_S125_L002_R2_001	25.827125464963075	37.0	151.0	9.090909090909092	17451012.0
18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R1_001	23.40534372557802	37.0	151.0	9.090909090909092	15597066.0
18170X106_200925_A00421_0244_AHKML5DSXY_S126_L002_R2_001	21.285909646282946	38.0	151.0	9.090909090909092	15597066.0
18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R1_001	26.495188833545797	37.0	151.0	9.090909090909092	27082319.0
18170X107_200925_A00421_0244_AHKML5DSXY_S127_L002_R2_001	24.954407117540228	38.0	151.0	9.090909090909092	27082319.0
18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R1_001	26.58766329553744	37.0	151.0	9.090909090909092	21762293.0
18170X108_200925_A00421_0244_AHKML5DSXY_S128_L002_R2_001	25.208547312873904	37.0	151.0	9.090909090909092	21762293.0
18170X109_200925_A00421_0244_AHKML5DSXY_S129_L002_R1_001	24.82060914381212	37.0	151.0	9.090909090909092	18843058.0
