protein1,protein2,combined_score
7668.SPU_000022-tr,7668.SPU_007960-tr,999
7668.SPU_000022-tr,7668.SPU_005296-tr,999
7668.SPU_000077-tr,7668.SPU_013353-tr,999
7668.SPU_000109-tr,7668.SPU_014882-tr,999
7668.SPU_000379-tr,7668.SPU_006213-tr,999
7668.SPU_000379-tr,7668.SPU_028226-tr,999
7668.SPU_000379-tr,7668.SPU_005571-tr,999
7668.SPU_000379-tr,7668.SPU_022957-tr,999
7668.SPU_000379-tr,7668.SPU_026541-tr,999
7668.SPU_000379-tr,7668.SPU_013662-tr,999
7668.SPU_000379-tr,7668.SPU_025574-tr,999
7668.SPU_000379-tr,7668.SPU_027892-tr,999
7668.SPU_000379-tr,7668.SPU_004996-tr,999
7668.SPU_000379-tr,7668.SPU_014074-tr,999
7668.SPU_000379-tr,7668.SPU_018884-tr,999
7668.SPU_000379-tr,7668.SPU_005699-tr,999
7668.SPU_000379-tr,7668.SPU_002606-tr,999
7668.SPU_000395-tr,7668.SPU_006213-tr,999
7668.SPU_000395-tr,7668.SPU_028226-tr,999
7668.SPU_000395-tr,7668.SPU_005571-tr,999
7668.SPU_000395-tr,7668.SPU_005252-tr,999
7668.SPU_000395-tr,7668.SPU_005709-tr,999
7668.SPU_000395-tr,7668.SPU_020745-tr,999
7668.SPU_000395-tr,7668.SPU_013662-tr,999
7668.SPU_000395-tr,7668.SPU_018866-tr,999
7668.SPU_000395-tr,7668.SPU_027892-tr,999
7668.SPU_000395-tr,7668.SPU_010626-tr,999
7668.SPU_000395-tr,7668.SPU_018318-tr,999
7668.SPU_000395-tr,7668.SPU_002438-tr,999
7668.SPU_000395-tr,7668.SPU_004609-tr,999
7668.SPU_000395-tr,7668.SPU_015294-tr,999
7668.SPU_000627-tr,7668.SPU_019423-tr,999
7668.SPU_000912-tr,7668.SPU_027783-tr,999
7668.SPU_001247-tr,7668.SPU_018597-tr,999
7668.SPU_001247-tr,7668.SPU_024140-tr,999
7668.SPU_001584-tr,7668.SPU_023531-tr,999
7668.SPU_001925-tr,7668.SPU_019206-tr,999
7668.SPU_001925-tr,7668.SPU_002128-tr,999
7668.SPU_002299-tr,7668.SPU_018139-tr,999
7668.SPU_002299-tr,7668.SPU_026430-tr,999
7668.SPU_002438-tr,7668.SPU_012865-tr,999
7668.SPU_002438-tr,7668.SPU_028366-tr,999
7668.SPU_002438-tr,7668.SPU_005571-tr,999
7668.SPU_002438-tr,7668.SPU_005252-tr,999
7668.SPU_002438-tr,7668.SPU_005709-tr,999
7668.SPU_002438-tr,7668.SPU_020745-tr,999
7668.SPU_002438-tr,7668.SPU_013452-tr,999
7668.SPU_002438-tr,7668.SPU_016200-tr,999
7668.SPU_002438-tr,7668.SPU_015666-tr,999
7668.SPU_002438-tr,7668.SPU_004996-tr,999
7668.SPU_002438-tr,7668.SPU_018318-tr,999
7668.SPU_002438-tr,7668.SPU_018884-tr,999
7668.SPU_002438-tr,7668.SPU_005699-tr,999
7668.SPU_002438-tr,7668.SPU_002606-tr,999
7668.SPU_002464-tr,7668.SPU_015276-tr,999
7668.SPU_002464-tr,7668.SPU_014800-tr,999
7668.SPU_002464-tr,7668.SPU_016200-tr,999
7668.SPU_002464-tr,7668.SPU_006487-tr,999
7668.SPU_002464-tr,7668.SPU_011111-tr,999
7668.SPU_002587-tr,7668.SPU_022161-tr,999
7668.SPU_002606-tr,7668.SPU_004721-tr,999
