NCBI scaffold number,mapped_start,mapped_stop
NW_022145601.1,22348695,22354778
NW_022145601.1,22346495,22354778
NW_022145601.1,22345203,22354778
NW_022145614.1,26092286,26093778
NW_022145614.1,26092286,26093710
NW_022145614.1,26077642,26080317
NW_022145614.1,25994002,25996924
NW_022145613.1,6042842,6048132
NW_022145613.1,6221318,6223559
NW_022145545.1,1537122,1540430
NW_022145545.1,1524674,1534974
NW_022145545.1,1524674,1533158
NW_022145545.1,1524674,1532885
NW_022145613.1,6288339,6289545
NW_022145545.1,1470098,1471659
NW_022145613.1,6390427,6439828
NW_022145545.1,1342937,1378487
NW_022145613.1,6390427,6439909
NW_022145545.1,1342856,1378487
NW_022145613.1,6486721,6511220
NW_022145613.1,6486721,6511230
NW_022145613.1,6486721,6511327
NW_022145613.1,6486721,6511327
NW_022145613.1,6675562,6698695
NW_022145613.1,6679066,6695254
NW_022145613.1,6776266,6791386
NW_022145613.1,6777092,6788227
NW_022145613.1,6775947,6790800
NW_022145545.1,1013974,1026149
NW_022145613.1,6776266,6791386
NW_022145613.1,6777092,6788227
NW_022145613.1,6775947,6790800
NW_022145545.1,1013974,1026149
NW_022145613.1,6744806,6746158
NW_022145545.1,1056714,1058066
NW_022145602.1,6112118,6119251
NW_022145602.1,15440810,15447578
NW_022145558.1,756506,763278
NW_022145609.1,15489250,15493977
NW_022145609.1,15592433,15598151
NW_022145611.1,16708072,16722890
NW_022145611.1,16708072,16718165
NW_022145611.1,16363895,16377927
NW_022145611.1,16363601,16371386
NW_022145611.1,16238025,16244913
NW_022145611.1,16238025,16244913
NW_022145611.1,16238025,16244913
NW_022145611.1,16197545,16199962
NW_022145611.1,16197543,16199962
NW_022145611.1,16195461,16196366
NW_022145611.1,16187775,16190624
NW_022145606.1,426473,428314
NW_022145606.1,423955,425796
NW_022145611.1,1926570,1929562
NW_022145611.1,1973026,1981035
NW_022145612.1,59268349,59283853
NW_022145612.1,59262308,59283853
NW_022145612.1,59262297,59283853
NW_022145612.1,59257399,59283853
NW_022145612.1,59101317,59112747
NW_022145612.1,59047601,59062334
NW_022145612.1,59047601,59062334
NW_022145612.1,59047601,59062302
NW_022145612.1,58825563,58971341
NW_022145597.1,22900209,22902275
NW_022145597.1,22900209,22902275
NW_022145597.1,22900209,22902383
NW_022145597.1,22900209,22902566
NW_022145597.1,26516727,26519568
NW_022145597.1,26516727,26519568
NW_022145611.1,38884534,38892735
NW_022145611.1,41136921,41145790
NW_022145594.1,14710045,14719122
NW_022145613.1,22219727,22226089
NW_022145613.1,22005281,22010536
NW_022145612.1,41872249,41875418
NW_022145612.1,41871898,41875418
NW_022145612.1,41863998,41869803
NW_022145612.1,41855078,41859487
NW_022145612.1,41832972,41853066
NW_022145612.1,41825690,41853066
NW_022145482.1,19004,21539
NW_022145554.1,1540632,1544706
NW_022145554.1,1591702,1593469
NW_022145600.1,2828942,2832510
NW_022145554.1,1608913,1612250
NW_022145614.1,30020806,30024326
NW_022145595.1,1164407,1165308
NW_022145615.1,25576122,25602971
NW_022145615.1,25576530,25601589
NW_022145611.1,98735,118640
NW_022145611.1,96177,118634
NW_022145610.1,30648126,30673814
NW_022145602.1,28781239,28807356
NW_022145602.1,28781641,28809299
NW_022145599.1,21653907,21670600
NW_022145599.1,21658814,21680084
NW_022145599.1,16527768,16544402
NW_022145594.1,48950633,48976730
NW_022145594.1,48966121,48979555
NW_022145610.1,30653791,30655586
NW_022145599.1,21677514,21678395
NW_022145615.1,25597804,25599721
NW_022145610.1,30650811,30655586
NW_022145602.1,28803767,28805933
NW_022145599.1,21677514,21680084
NW_022145594.1,48972556,48975561
NW_022145609.1,39071470,39073331
NW_022145598.1,36086934,36094193
NW_022145594.1,11394918,11397633
NW_022145594.1,11261934,11263278
NW_022145594.1,47809104,47809820
NW_022145594.1,47741583,47743553
NW_022145594.1,47738291,47740697
NW_022145611.1,18286985,18287947
NW_022145611.1,19776064,19776773
NW_022145611.1,18379660,18384474
NW_022145611.1,18484886,18517214
NW_022145611.1,18490592,18517214
NW_022145610.1,19993394,19995440
NW_022145578.1,516631,518780
NW_022145595.1,3283282,3287673
NW_022145595.1,3283282,3287673
NW_022145595.1,3283282,3287673
NW_022145595.1,3242615,3245820
NW_022145595.1,3166305,3171524
NW_022145607.1,29860169,29863661
NW_022145607.1,29871699,29884664
NW_022145607.1,29872879,29884664
NW_022145607.1,29872879,29884664
NW_022145607.1,29871326,29884353
NW_022145607.1,29871326,29883524
NW_022145607.1,29882614,29893676
NW_022145594.1,14821216,14824087
NW_022145594.1,14821216,14824071
NW_022145615.1,25790270,25792366
NW_022145597.1,27290057,27293829
NW_022145597.1,27268662,27272440
NW_022145610.1,25904610,25909936
NW_022145610.1,25904610,25909936
NW_022145603.1,8054332,8055510
NW_022145603.1,8170937,8172838
NW_022145603.1,8171241,8172838
NW_022145605.1,28862421,28884677
NW_022145601.1,2912236,2916418
NW_022145601.1,2902764,2904481
NW_022145612.1,39587093,39590037
NW_022145604.1,23816511,23819384
NW_022145604.1,23265698,23268574
NW_022145613.1,20772103,20785867
NW_022145596.1,8292553,8326017
NW_022145596.1,8281703,8316125
NW_022145596.1,8281577,8316125
NW_022145596.1,8253125,8264557
NW_022145596.1,8250302,8262869
NW_022145596.1,8250302,8262335
NW_022145596.1,8208561,8210171
NW_022145596.1,8206117,8208385
NW_022145596.1,8043535,8051059
NW_022145595.1,13684503,13716902
NW_022145595.1,13667892,13678938
NW_022145595.1,13464003,13471149
NW_022145595.1,13458626,13462855
NW_022145613.1,18150550,18161331
NW_022145613.1,18150550,18161331
NW_022145612.1,58803327,58804041
NW_022145612.1,58803327,58804041
NW_022145612.1,58803327,58804041
NW_022145612.1,58803327,58804041
NW_022145612.1,58803327,58804041
NW_022145603.1,2566758,2574833
NW_022145609.1,33953826,33956786
NW_022145547.1,840297,841193
NW_022145598.1,16800040,16801628
NW_022145598.1,16565054,16566580
NW_022145598.1,16800040,16801628
NW_022145598.1,16565054,16566580
NW_022145598.1,16575942,16578650
