protein_external_id	preferred_name	protein_size	annotation
7668.SPU_000001-tr	SPU_000001-tr	1037	Uncharacterized protein
7668.SPU_000002-tr	LOC762895	648	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_000003-tr	LOC762881	380	Uncharacterized protein
7668.SPU_000004-tr	SPU_000004-tr	538	Uncharacterized protein
7668.SPU_000005-tr	SPU_000005-tr	94	Uncharacterized protein
7668.SPU_000006-tr	LOC582073	388	Uncharacterized protein
7668.SPU_000007-tr	LOC581981	349	Protein Wnt-7; Ligand for members of the frizzled family of seven transmembrane receptors. Probable developmental protein. May be a signaling molecule which affects the development of discrete regions of tissues. Is likely to signal over only few cell diameters
7668.SPU_000008-tr	LOC581924	320	Uncharacterized protein
7668.SPU_000009-tr	LOC764356	155	Uncharacterized protein
7668.SPU_000010-tr	SPU_000010-tr	131	Uncharacterized protein
7668.SPU_000011-tr	SPU_000011-tr	1382	Uncharacterized protein
7668.SPU_000012-tr	LOC590928	388	Uncharacterized protein; Belongs to the arginase family
7668.SPU_000013-tr	SPU_000013-tr	1754	Uncharacterized protein
7668.SPU_000014-tr	LOC591316	121	Uncharacterized protein; Belongs to the ubiquitin-conjugating enzyme family
7668.SPU_000015-tr	SPU_000015-tr	900	Uncharacterized protein
7668.SPU_000016-tr	SPU_000016-tr	802	Uncharacterized protein
7668.SPU_000017-tr	SPU_000017-tr	559	Uncharacterized protein
7668.SPU_000018-tr	LOC753174	190	Uncharacterized protein
7668.SPU_000019-tr	SPU_000019-tr	379	Uncharacterized protein
7668.SPU_000020-tr	SPU_000020-tr	122	Uncharacterized protein
7668.SPU_000021-tr	SPU_000021-tr	187	Uncharacterized protein
7668.SPU_000022-tr	LOC579751	249	Uncharacterized protein
7668.SPU_000023-tr	SPU_000023-tr	212	Uncharacterized protein
7668.SPU_000024-tr	SPU_000024-tr	113	Uncharacterized protein
7668.SPU_000025-tr	LOC588292	250	Uncharacterized protein
7668.SPU_000026-tr	LOC593658	493	Adenylosuccinate lyase; Belongs to the lyase 1 family. Adenylosuccinate lyase subfamily
7668.SPU_000027-tr	SPU_000027-tr	303	Uncharacterized protein
7668.SPU_000028-tr	SPU_000028-tr	285	Uncharacterized protein
7668.SPU_000029-tr	SPU_000029-tr	865	Uncharacterized protein
7668.SPU_000030-tr	SPU_000030-tr	311	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_000031-tr	SPU_000031-tr	692	Uncharacterized protein
7668.SPU_000032-tr	SPU_000032-tr	370	Uncharacterized protein
7668.SPU_000033-tr	SPU_000033-tr	313	Uncharacterized protein
7668.SPU_000034-tr	LOC575530	586	Uncharacterized protein
7668.SPU_000035-tr	SPU_000035-tr	218	Uncharacterized protein
7668.SPU_000036-tr	SPU_000036-tr	297	Uncharacterized protein
7668.SPU_000037-tr	SPU_000037-tr	583	Uncharacterized protein
7668.SPU_000038-tr	LOC578684	352	Uncharacterized protein
7668.SPU_000039-tr	SPU_000039-tr	1058	annotation not available
7668.SPU_000040-tr	LOC580476	387	Probable methyltransferase BMT2 homolog; Probable S-adenosyl-L-methionine-dependent methyltransferase
7668.SPU_000041-tr	SPU_000041-tr	5664	Uncharacterized protein
7668.SPU_000042-tr	SPU_000042-tr	566	Uncharacterized protein
7668.SPU_000043-tr	SPU_000043-tr	319	Uncharacterized protein
7668.SPU_000044-tr	SPU_000044-tr	474	Uncharacterized protein
7668.SPU_000045-tr	LOC581954	279	Uncharacterized protein
7668.SPU_000046-tr	LOC580385	591	Uncharacterized protein
7668.SPU_000047-tr	SPU_000047-tr	228	Uncharacterized protein
7668.SPU_000048-tr	LOC580143	207	Uncharacterized protein
7668.SPU_000049-tr	LOC580206	587	Uncharacterized protein; Belongs to the peptidase S1 family
7668.SPU_000050-tr	SPU_000050-tr	1018	Uncharacterized protein
7668.SPU_000051-tr	SPU_000051-tr	857	Uncharacterized protein
7668.SPU_000052-tr	LOC579107	478	Uncharacterized protein
7668.SPU_000053-tr	LOC763556	5189	Uncharacterized protein
7668.SPU_000054-tr	LOC579041	540	Uncharacterized protein
7668.SPU_000055-tr	SPU_000055-tr	311	Uncharacterized protein
7668.SPU_000056-tr	SPU_000056-tr	1084	Uncharacterized protein
7668.SPU_000057-tr	SPU_000057-tr	477	Uncharacterized protein
7668.SPU_000058-tr	SPU_000058-tr	255	Uncharacterized protein
7668.SPU_000059-tr	SPU_000059-tr	79	Uncharacterized protein
7668.SPU_000060-tr	LOC580180	476	Uncharacterized protein
7668.SPU_000061-tr	SPU_000061-tr	444	Uncharacterized protein; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
7668.SPU_000062-tr	LOC373275	447	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
7668.SPU_000063-tr	LOC574655	302	Uncharacterized protein; Belongs to the short-chain dehydrogenases/reductases (SDR) family
7668.SPU_000064-tr	LOC574776	353	Uncharacterized protein; Belongs to the G-protein coupled receptor 1 family
7668.SPU_000065-tr	SPU_000065-tr	112	Uncharacterized protein
7668.SPU_000066-tr	LOC583012	675	Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family
7668.SPU_000067-tr	SPU_000067-tr	314	Uncharacterized protein
7668.SPU_000068-tr	SPU_000068-tr	182	Uncharacterized protein
7668.SPU_000069-tr	SPU_000069-tr	415	Uncharacterized protein
7668.SPU_000070-tr	SPU_000070-tr	1069	Uncharacterized protein
7668.SPU_000071-tr	SPU_000071-tr	631	Uncharacterized protein
