chr,start,stop
NC_001453.1,1,73
NC_001453.1,74,1009
NC_001453.1,1014,1084
NC_001453.1,1162,4259
NC_001453.1,4260,15650
NW_022144748.1,35453,54759
NW_022144751.1,1066,15985
NW_022144751.1,16488,17672
NW_022144751.1,23038,23249
NW_022144751.1,24080,26177
NW_022144751.1,26961,27340
NW_022144751.1,28122,28489
NW_022144751.1,29209,30620
NW_022144751.1,31116,32308
NW_022144751.1,38798,42470
NW_022144751.1,42969,44161
NW_022144753.1,17127,29545
NW_022144757.1,13643,18806
NW_022144757.1,20379,26107
NW_022144759.1,-549,2279
NW_022144759.1,6819,17910
NW_022144760.1,10076,12310
NW_022144762.1,19750,22854
NW_022144763.1,16106,19280
NW_022144763.1,19285,21484
NW_022144764.1,-725,5103
NW_022144764.1,6124,10169
NW_022144764.1,19146,22488
NW_022144765.1,1121,19249
NW_022144768.1,-961,111
NW_022144768.1,15656,19700
NW_022144769.1,6646,20738
NW_022144770.1,13852,22015
NW_022144772.1,12140,20661
NW_022144776.1,851,7919
NW_022144776.1,10007,18425
NW_022144778.1,13009,16787
NW_022144779.1,-914,18597
NW_022144783.1,4260,8218
NW_022144783.1,12711,17795
NW_022144790.1,1550,17457
NW_022144792.1,-693,14329
NW_022144794.1,1789,2861
NW_022144796.1,10216,15696
NW_022144799.1,9978,17112
NW_022144804.1,-87,5124
NW_022144809.1,-301,6190
NW_022144811.1,100,2165
NW_022144811.1,4858,8424
NW_022144813.1,58151,64476
NW_022144815.1,5857,6929
NW_022144816.1,2076,5763
NW_022144818.1,978,7406
NW_022144819.1,5902,8347
NW_022144819.1,8570,12777
NW_022144819.1,15095,16743
NW_022144819.1,20691,26237
NW_022144826.1,11233,14594
NW_022144828.1,7224,9748
NW_022144830.1,8,4887
NW_022144837.1,1566,11596
NW_022144838.1,1746,13906
NW_022144841.1,3008,13890
NW_022144842.1,416,4877
NW_022144843.1,1960,11256
NW_022144844.1,-625,3080
NW_022144849.1,287,2374
NW_022144859.1,9750,12340
NW_022144862.1,4333,5989
NW_022144862.1,7929,12265
NW_022144865.1,4681,11491
NW_022144868.1,2171,11637
NW_022144873.1,-403,8681
NW_022144875.1,46,3456
NW_022144878.1,600,10132
NW_022144890.1,3589,10143
NW_022144891.1,2825,9459
NW_022144896.1,1163,11447
NW_022144897.1,34287,37031
NW_022144897.1,92195,102823
NW_022144898.1,7706,9995
NW_022144901.1,-869,10243
NW_022144904.1,5081,6916
NW_022144906.1,-224,8447
NW_022144911.1,3031,11199
NW_022144914.1,4945,9390
NW_022144925.1,8030,10179
NW_022144926.1,864,7394
NW_022144928.1,232,5441
NW_022144930.1,28337,41346
NW_022144931.1,466,2005
NW_022144931.1,4932,6699
NW_022144934.1,1815,7838
NW_022144935.1,211,9113
NW_022144941.1,1269,8540
NW_022144941.1,13113,21335
NW_022144941.1,33894,43312
NW_022144941.1,87440,115899
NW_022144941.1,120723,131005
NW_022144945.1,7398,8994
NW_022144947.1,328,4415
NW_022144948.1,564,6488
NW_022144952.1,671,22383
NW_022144952.1,28335,38377
NW_022144952.1,40546,46883
NW_022144954.1,1090,4387
NW_022144962.1,6630,8107
NW_022144963.1,59472,63176
NW_022144970.1,3445,5431
NW_022144975.1,-895,7538
NW_022144981.1,2217,7469
NW_022144996.1,66767,71455
NW_022145002.1,406,7684
NW_022145003.1,3939,7091
NW_022145004.1,-536,6239
NW_022145005.1,-515,4941
NW_022145013.1,662,7927
NW_022145015.1,2138,7181
NW_022145016.1,720,2254
NW_022145018.1,7294,25742
NW_022145018.1,43679,46213
NW_022145018.1,48629,57878
NW_022145018.1,109447,113339
NW_022145018.1,125786,130305
NW_022145018.1,299550,308642
NW_022145018.1,352645,355227
NW_022145018.1,359872,387090
NW_022145024.1,-894,6713
NW_022145029.1,856,4253
NW_022145029.1,15591,23703
NW_022145033.1,3153,7370
NW_022145035.1,-347,4112
NW_022145038.1,3310,6315
NW_022145041.1,1032,7297
NW_022145048.1,416,6275
NW_022145050.1,323,6811
NW_022145057.1,1558,4098
NW_022145064.1,663,3891
NW_022145067.1,773,4330
NW_022145071.1,13,6857
NW_022145073.1,96141,107236
NW_022145073.1,113967,122871
NW_022145081.1,166,1738
NW_022145082.1,142,623
NW_022145086.1,-805,4149
NW_022145096.1,-909,3004
NW_022145113.1,-421,3702
NW_022145130.1,3238,4388
NW_022145134.1,2862,4578
NW_022145139.1,3917,30602
NW_022145149.1,-287,3364
NW_022145152.1,160,3130
NW_022145153.1,581,3898
NW_022145168.1,10,4410
NW_022145174.1,26,3571
NW_022145190.1,1088,3172
NW_022145204.1,1291,3224
NW_022145211.1,-694,3222
NW_022145228.1,389,3071
NW_022145308.1,1696,3001
NW_022145315.1,31499,37353
NW_022145324.1,321,2819
NW_022145334.1,-365,1801
NW_022145353.1,325,2374
NW_022145354.1,813,1390
NW_022145376.1,-993,15957
NW_022145377.1,880,10753
NW_022145377.1,31353,38242
NW_022145379.1,16709,18983
NW_022145380.1,-994,7730
NW_022145381.1,995,4999
NW_022145382.1,4011,5083
NW_022145382.1,9100,10172
NW_022145386.1,12963,18391
NW_022145389.1,9334,15181
NW_022145390.1,453,5322
NW_022145395.1,419,17736
NW_022145397.1,-956,4614
NW_022145397.1,8961,13576
NW_022145400.1,6247,11551
NW_022145401.1,1965,7126
NW_022145407.1,3724,24096
NW_022145410.1,-995,73411
NW_022145411.1,6334,11439
NW_022145412.1,3831,19916
NW_022145416.1,2715,9695
NW_022145419.1,47933,68443
NW_022145421.1,-122,6866
NW_022145421.1,13316,14387
NW_022145422.1,55600,59542
NW_022145427.1,43952,59032
NW_022145429.1,31018,38298
NW_022145431.1,2396,14460
NW_022145431.1,21129,32821
NW_022145431.1,33647,52395
NW_022145437.1,5304,26858
NW_022145443.1,14759,19068
NW_022145456.1,25278,26979
NW_022145456.1,48268,60594
NW_022145456.1,63228,68667
NW_022145456.1,74934,78644
NW_022145456.1,100840,110171
NW_022145456.1,113687,124486
NW_022145457.1,2363,25332
NW_022145457.1,68648,83581
NW_022145460.1,36261,39777
NW_022145461.1,9723,12214
NW_022145461.1,39100,50994
NW_022145462.1,1393,6543
NW_022145462.1,9056,15790
NW_022145462.1,23273,40757
NW_022145463.1,323,4335
NW_022145463.1,19800,33337
NW_022145464.1,2379,9483
NW_022145465.1,356,6428
NW_022145467.1,11098,15322
NW_022145474.1,-606,2872
NW_022145474.1,4923,7909
NW_022145474.1,14982,18770
NW_022145474.1,18820,25439
NW_022145476.1,29666,42195
NW_022145477.1,1241,17532
NW_022145478.1,1744,9326
NW_022145481.1,-615,9602
NW_022145482.1,5401,13990
NW_022145482.1,17158,25509
NW_022145484.1,-599,5000
NW_022145487.1,360,28105
NW_022145489.1,6420,16105
NW_022145489.1,20317,23383
NW_022145492.1,-908,2777
NW_022145493.1,2101,8616
NW_022145493.1,26422,49191
NW_022145496.1,2978,5179
NW_022145496.1,9548,13381
NW_022145496.1,18713,21091
NW_022145498.1,16897,25457
NW_022145499.1,13837,17443
NW_022145499.1,30763,32925
NW_022145499.1,38552,49624
NW_022145500.1,1446,4192
NW_022145500.1,5031,7551
NW_022145501.1,16791,22366
NW_022145504.1,-451,3707
NW_022145506.1,827,30307
NW_022145507.1,6806,18724
NW_022145507.1,172262,204822
NW_022145508.1,14876,22038
NW_022145508.1,27289,50985
NW_022145509.1,85,29274
NW_022145509.1,33451,48345
NW_022145510.1,479,21300
NW_022145511.1,98743,109422
NW_022145512.1,-434,3736
NW_022145512.1,38613,41388
NW_022145512.1,149520,160996
NW_022145512.1,193033,217333
NW_022145512.1,220375,243550
NW_022145514.1,4375,74405
NW_022145514.1,81966,87500
NW_022145514.1,87554,89570
NW_022145514.1,108521,111272
NW_022145514.1,162446,173640
NW_022145514.1,180376,188764
NW_022145514.1,192106,197184
NW_022145514.1,201839,228895
NW_022145514.1,229112,243360
NW_022145514.1,300914,308168
NW_022145514.1,314531,328458
NW_022145514.1,329796,345468
NW_022145514.1,350942,386274
NW_022145514.1,388956,408895
NW_022145514.1,409564,419797
NW_022145514.1,424116,434458
NW_022145514.1,436745,512888
NW_022145514.1,524951,542934
NW_022145514.1,554198,565034
NW_022145514.1,575064,614591
NW_022145514.1,639583,656603
NW_022145514.1,740646,766916
NW_022145514.1,857986,954344
NW_022145514.1,955553,983630
NW_022145514.1,993136,1035878
NW_022145514.1,1068786,1085253
NW_022145514.1,1100390,1102415
NW_022145514.1,1105911,1108484
NW_022145514.1,1122267,1135614
NW_022145514.1,1155242,1209110
NW_022145514.1,1214104,1220741
NW_022145515.1,17014,22589
NW_022145515.1,25087,42381
NW_022145515.1,76371,93522
NW_022145515.1,105387,127594
NW_022145515.1,334483,351763
NW_022145515.1,356427,366623
NW_022145515.1,368057,393776
NW_022145515.1,399294,428434
NW_022145515.1,440068,443205
NW_022145516.1,21600,36316
NW_022145516.1,72614,95837
NW_022145516.1,101706,116291
NW_022145516.1,302910,304506
NW_022145516.1,358935,372246
NW_022145516.1,383943,416371
NW_022145516.1,462560,471360
NW_022145516.1,476302,488755
NW_022145516.1,488770,570924
NW_022145516.1,581255,584019
NW_022145516.1,619916,633750
NW_022145516.1,656798,661904
NW_022145516.1,722083,732741
NW_022145516.1,916882,919737
NW_022145516.1,971108,972554
NW_022145516.1,995776,997855
NW_022145516.1,1010829,1012706
NW_022145516.1,1015457,1017348
NW_022145516.1,1033481,1065362
NW_022145516.1,1114431,1128186
NW_022145516.1,1140641,1160151
NW_022145516.1,1199332,1239535
NW_022145516.1,1247698,1264443
NW_022145516.1,1270316,1572451
NW_022145516.1,1579552,1591079
NW_022145516.1,1600358,1607366
NW_022145516.1,1623541,1630283
NW_022145516.1,1643294,1648521
NW_022145516.1,1649230,1650844
